date,username,to,replies,retweets,favorites,tweet,geo,mentions,hashtags,id,permalink
2020-04-17 17:00:09,taylorswift13,,11627,29587,203327,"I'm so sad I won't be able to see you guys in concert this year, but I know this is the right decision. Please, please stay healthy and safe. I’ll see you on stage as soon as I can but right now what’s important is committing to this quarantine, for the sake of all of us.pic.twitter.com/qeiMk2Tgon",,,,1251193743912456192,https://twitter.com/taylorswift13/status/1251193743912456192
2020-04-14 18:17:17,taylorswift13,RyanHurd,1412,1482,11762,Love this so much,,,,1250125991437107200,https://twitter.com/taylorswift13/status/1250125991437107200
2020-04-10 18:18:54,taylorswift13,,4734,14777,138891,"It’s National Siblings Day! My brother @austinswift7 is one of my best pals, and I’m really proud of him because he’s in a film that came out today called We Summon The Darkness (which he co-produced). Photo by Gigi. My facial expression by 3 glasses of wine. #nationalsiblingsdaypic.twitter.com/1SXUtIxaiP",,@austinswift7,#nationalsiblingsdaypic,1248676845958107139,https://twitter.com/taylorswift13/status/1248676845958107139
2020-03-27 13:15:38,taylorswift13,,3802,12100,76870,My Women’s History Month playlist is nostalgic comfort vibes by women I adore @Spotify https://taylorswift.lnk.to/SpotifyWHM pic.twitter.com/I5jQCZy8G1,,@Spotify,,1243527098154848258,https://twitter.com/taylorswift13/status/1243527098154848258
2020-03-20 18:01:43,taylorswift13,,3802,12948,104603,"While we’re looking for things to do at home, I thought it’d be fun to share behind the scenes of my dad’s acting debut. pic.twitter.com/1WIBE8jdfb",,,,1241062380332814336,https://twitter.com/taylorswift13/status/1241062380332814336
2020-03-16 21:50:13,taylorswift13,,4896,37038,218052,"For Meredith, self quarantining is a way of life. Be like Meredith. #QuarantineCatspic.twitter.com/yEHJ5c5oFi",,,#QuarantineCatspic,1239670332958674944,https://twitter.com/taylorswift13/status/1239670332958674944
2020-03-10 12:52:08,taylorswift13,,3195,18490,136480,No one: Absolutely no one: Me: here’s more footage of behind the scenes of me directing The Man video with a female voice and demeanor/ dude body and face! Just to make your day weirder! Https://taylor.lnk.to/directing pic.twitter.com/iCvBjThn0d,,,,1237360590110294016,https://twitter.com/taylorswift13/status/1237360590110294016
2020-03-07 17:15:15,taylorswift13,,2694,13385,92214,"In honor of International Women’s Day, I changed out my @AppleMusic playlist to songs I’m loving right now by female artists and bands. Let’s all celebrate together by honoring the women in our lives and the women out there pushing things forward https://apple.co/PlaylistByME",,@AppleMusic,,1236339640656973825,https://twitter.com/taylorswift13/status/1236339640656973825
2020-03-06 13:19:20,taylorswift13,,1846,11363,74098,The Man Behind The Scenes - Becoming The Man is out now! Only took 5 hours in the makeup chair + a little sprinkle of privilege dust https://Taylor.lnk.to/btm pic.twitter.com/ptVjh4xQCZ,,,,1235917883726852098,https://twitter.com/taylorswift13/status/1235917883726852098
2020-03-03 20:24:24,taylorswift13,,2354,14856,155469,My heart is with everyone in Tennessee who has been affected by the tornados. Sending you my love and prayers.,,,,1234937694121287684,https://twitter.com/taylorswift13/status/1234937694121287684
2020-02-28 02:12:27,taylorswift13,,481,3056,32661,Shout out to Rebecca Skinner for being the best executive producer a (wo)man could ask for. I can’t believe I get to work with these legends. Having a little moment over here,,,,1233213342002618368,https://twitter.com/taylorswift13/status/1233213342002618368
2020-02-28 02:12:26,taylorswift13,,1049,8171,67222,"More thank you’s... Chancler Haynes is an editing extraordinaire. Stephen Galloway and Spenser Theberge were my movement coaches and taught me how to smoke, slouch, walk and act like a toxic bro. David Lebensfeld and Grant Miller aced that VFX magic.pic.twitter.com/I8rf5D3xwE",,,,1233213339607719936,https://twitter.com/taylorswift13/status/1233213339607719936
2020-02-28 00:11:18,taylorswift13,,295,2896,31206,"Rodrigo Prieto, our DP/cinematographer, is absolutely brilliant and down to earth and hilarious. Ethan Tobman created all those sets. Like, that wasn’t a real yacht. That’s how good he is.",,,,1233182854231863301,https://twitter.com/taylorswift13/status/1233182854231863301
2020-02-28 00:11:18,taylorswift13,,972,9105,84288,"I want to say a massive thank you to my main team in putting this whole thing together: Jil Hardin, our producer, worked tirelessly and truly made me feel like I could do this. Joe ‘Oz’ Osborne, our excellent AD, and I have worked together for years and he’s the coolest.pic.twitter.com/c7hLxu4Keq",,,,1233182852092694533,https://twitter.com/taylorswift13/status/1233182852092694533
